quantity;product_name;price;order_id;note
2;Cơm Gà Xối Mắm Tỏi (Đùi Tỏi/Má Đùi);92000;A-5LNW8KKGWJS8;Má Đùi
2;Cơm Gà Xốt Me (Đùi Tỏi/Má Đùi);98000;A-5LNW8KKGWJS8;Má Đùi
2;Cơm Gà Xốt Thái (Đùi Tỏi/ Má Đùi);98000;A-5LNW8KKGWJS8;Má Đùi
1;Combo 2 Chai Pepsi;0;A-5LNW8KKGWJS8;
3;Chè bưởi;90000;A-5MJKXWGGWHJH;
2;Chè Thái;70000;A-5MJKXWGGWHJH;
1;Chè đậu thập cẩm;25000;A-5MJKXWGGWHJH;
2;Cơm Gà Xốt Me (Đùi Tỏi/Má Đùi);98000;A-5MJU8DFWWJ3O;Má Đùi
2;Cơm Sườn Xốt Tiêu Đen;96000;A-5MJU8DFWWJ3O;
3;Cơm Gà Xốt Lá Chanh (Đùi Tỏi/Má Đùi);147000;A-5MJU8DFWWJ3O;Đùi Tỏi, Đùi Tỏi
1;Cơm Gà Xốt Me (Đùi Tỏi/Má Đùi);49000;A-5NGNDIEWWJIE;Má Đùi
1;Cơm Gà Xối Mắm Tỏi (Đùi Tỏi/Má Đùi);46000;A-5NGNDIEWWJIE;Đùi Tỏi
1;Cơm Sườn Xốt Chua Cay;48000;A-5NGNDIEWWJIE;
1;Cơm Sườn Xốt Thái;48000;A-5NGNDIEWWJIE;
1;Cơm Sườn Xốt Tiêu Đen;48000;A-5NGNDIEWWJIE;
1;Cơm Gà Xốt Lá Chanh (Đùi Tỏi/Má Đùi);49000;A-5NGNDIEWWJIE;Đùi Tỏi
2;Mẹt thập cẩm 3 người;398000;A-5ODILVLGWEQ4;
2;Cơm Sườn Xốt Tiêu Đen;96000;A-5PADMFFGWE9W;
2;Cơm Sườn Xốt Thái;96000;A-5PADMFFGWE9W;
2;Cơm Tấm Sườn;90000;A-5PADMFFGWE9W;Truyền Thống
2;Cơm Gà Xốt Tiêu Đen (Đùi Tỏi/Má Đùi);98000;A-5Q77UVBWWHHK;Đùi tỏi
2;Cơm Gà Xối Mắm Tỏi (Đùi Tỏi/Má Đùi);92000;A-5Q77UVBWWHHK;Má đùi
2;Cơm Gà Xốt Chua Cay (Đùi Tỏi/Má Đùi);98000;A-5Q77UVBWWHHK;Đùi tỏi
5;Mì Quảng thập cẩm;297000;A-5QVSML2WWGQ2;
7;Bún chả Hà Nội;364000;A-5RSQB8TWWGSW;
5;Bánh Canh Cua Đầy Đủ;250000;A-5SWT6LDGWH6L;
2;Cơm Gà Xốt Tiêu Đen (Đùi Tỏi/Má Đùi);98000;A-5STORXVGWJ69;Đùi tỏi
2;Cơm Gà Xối Mắm Tỏi (Đùi Tỏi/Má Đùi);94000;A-5STORXVGWJ69;Má đùi
1;Cơm Gà Xốt Chua Cay (Đùi Tỏi/Má Đùi);49000;A-5STORXVGWJ69;Đùi tỏi
6;Bánh Canh Cua Đầy Đủ;300000;A-5TQJSE9GWEXN;
2;Cơm Gà Xốt Tiêu Đen (Đùi Tỏi/Má Đùi);98000;A-5UNEPCMGWHCH;Đùi tỏi
2;Cơm Gà Xối Mắm Tỏi (Đùi Tỏi/Má Đùi);94000;A-5UNEPCMGWHCH;Má đùi
2;Cơm Gà Xốt Chua Cay (Đùi Tỏi/Má Đùi);98000;A-5UNEPCMGWHCH;Đùi tỏi
2;Cơm Gà Kho Sả Ớt;78000;A-5VG628XWWJ9R;
2;Cơm Ba Rọi Rút Sườn Sốt Thái;118000;A-5VG628XWWJ9R;
2;Cơm Sườn Xốt Tiêu Đen;96000;A-5VG628XWWJ9R;
1;Mẹt thập cẩm 3 người;199000;A-5VK764UWWI6K;Chia 2 hộp: Bún Rau & Đồ Ăn (ăn chung)
1;Chả cốm thêm;36000;A-5VK764UWWI6K;
1;Mẹt thập cẩm 3 người;199000;A-5VK764UWWI6K;Chia 2 hộp: Bún Rau & Đồ Ăn (ăn chung)
1;Chả cốm thêm;36000;A-5VK764UWWI6K;
5;Mì Quảng thập cẩm;287100;A-6WH4M9VWWEX4;
